method,mp1,mp3,mp5,mp10,mp20,atleast1/3,atleast1/10
GT (DCG scoring),1.0,0.894586894587,0.687179487179,0.435042735043,0.22735042735,1.0,1.0
SVR linear #iter=10K (top-1),0.0940170940171,0.0683760683761,0.0564102564103,0.0435897435897,0.0282051282051,0.17094017094,0.307692307692
SVR linear #iter=10K (top-10),0.205128205128,0.139601139601,0.100854700855,0.0777777777778,0.0564102564103,0.316239316239,0.461538461538
SVR linear #iter=10K (top-50),0.230769230769,0.173789173789,0.152136752137,0.126495726496,0.0918803418803,0.367521367521,0.581196581197
SVR poly #iter=10K (top-1),0.196581196581,0.108262108262,0.0888888888889,0.0649572649573,0.0423076923077,0.213675213675,0.316239316239
SVR poly #iter=10K (top-10),0.205128205128,0.156695156695,0.124786324786,0.100854700855,0.0735042735043,0.307692307692,0.478632478632
SVR poly #iter=10K (top-50),0.290598290598,0.233618233618,0.203418803419,0.166666666667,0.112820512821,0.478632478632,0.632478632479
SVR RBF #iter=10K (top-1),0.264957264957,0.205128205128,0.160683760684,0.109401709402,0.0696581196581,0.384615384615,0.529914529915
SVR RBF #iter=10K (top-5),0.264957264957,0.202279202279,0.174358974359,0.132478632479,0.0935897435897,0.393162393162,0.589743589744
SVR RBF #iter=10K (top-10),0.247863247863,0.205128205128,0.198290598291,0.161538461538,0.114102564103,0.418803418803,0.666666666667
SVR RBF #iter=10K (top-20),0.358974358974,0.267806267806,0.230769230769,0.186324786325,0.133333333333,0.529914529915,0.74358974359
SVR RBF #iter=10K (top-30),0.367521367521,0.293447293447,0.242735042735,0.187179487179,0.138034188034,0.547008547009,0.709401709402
SVR RBF #iter=10K (top-50),0.410256410256,0.304843304843,0.266666666667,0.204273504274,0.144017094017,0.555555555556,0.752136752137
Full Img (LSH #bits=20. ~brute force),0.384615384615,0.273504273504,0.208547008547,0.149572649573,0.103418803419,0.547008547009,0.735042735043
Random 1 patch,0.102564102564,0.0569800569801,0.0512820512821,0.0316239316239,0.0252136752137,0.153846153846,0.25641025641
