method,mp1,mp3,mp5,mp10,mp20,atleast1/3,atleast1/10
GT (DCG scoring) (top-1),1.0,0.894586894587,0.687179487179,0.435042735043,0.22735042735,1.0,1.0
GT (DCG scoring) (top-30),0.991452991453,0.85754985755,0.688888888889,0.447008547009,0.26452991453,1.0,1.0
GT (DCG scoring) (top-50),0.982905982906,0.834757834758,0.682051282051,0.444444444444,0.263675213675,1.0,1.0
GT (DCG scoring) (10th-no NMS),0.965811965812,0.635327635328,0.48547008547,0.313675213675,0.171367521368,1.0,1.0
GT (DCG scoring) (30th-no NMS),0.888888888889,0.541310541311,0.388034188034,0.24358974359,0.132051282051,0.991452991453,1.0
GT (DCG scoring) (50th-no NMS),0.897435897436,0.464387464387,0.34188034188,0.203418803419,0.119658119658,0.965811965812,1.0
GT (DCG scoring) (100th-no NMS),0.649572649573,0.34188034188,0.254700854701,0.160683760684,0.0931623931624,0.846153846154,0.982905982906
GT (DCG scoring) (200th-no NMS),0.34188034188,0.236467236467,0.179487179487,0.119658119658,0.0760683760684,0.606837606838,0.905982905983
SVR linear #iter=10K (top-1),0.0940170940171,0.0683760683761,0.0564102564103,0.0435897435897,0.0282051282051,0.17094017094,0.307692307692
SVR linear #iter=10K (top-10),0.205128205128,0.139601139601,0.100854700855,0.0777777777778,0.0564102564103,0.316239316239,0.461538461538
SVR linear #iter=10K (top-50),0.230769230769,0.173789173789,0.152136752137,0.126495726496,0.0918803418803,0.367521367521,0.581196581197
SVR poly #iter=10K (top-1),0.196581196581,0.108262108262,0.0888888888889,0.0649572649573,0.0423076923077,0.213675213675,0.316239316239
SVR poly #iter=10K (top-10),0.205128205128,0.156695156695,0.124786324786,0.100854700855,0.0735042735043,0.307692307692,0.478632478632
SVR poly #iter=10K (top-50),0.290598290598,0.233618233618,0.203418803419,0.166666666667,0.112820512821,0.478632478632,0.632478632479
SVR RBF #iter=10K (top-1),0.264957264957,0.205128205128,0.160683760684,0.109401709402,0.0696581196581,0.384615384615,0.529914529915
SVR RBF #iter=10K (top-20),0.358974358974,0.267806267806,0.230769230769,0.186324786325,0.133333333333,0.529914529915,0.74358974359
SVR RBF #iter=10K (top-50),0.410256410256,0.304843304843,0.266666666667,0.204273504274,0.144017094017,0.555555555556,0.752136752137
liblinear (fc7) full (top-1),0.324786324786,0.202279202279,0.157264957265,0.0991452991453,0.065811965812,0.393162393162,0.487179487179
liblinear (fc7) full (top-20),0.350427350427,0.270655270655,0.213675213675,0.17264957265,0.128632478632,0.504273504274,0.683760683761
liblinear (fc7) full (top-50),0.401709401709,0.299145299145,0.283760683761,0.206837606838,0.144017094017,0.564102564103,0.717948717949
liblinear (pool5) (top-1),0.25641025641,0.205128205128,0.17264957265,0.107692307692,0.067094017094,0.376068376068,0.487179487179
liblinear (pool5) (top-20),0.358974358974,0.301994301994,0.244444444444,0.17264957265,0.124786324786,0.564102564103,0.700854700855
liblinear (pool5) (top-50),0.376068376068,0.301994301994,0.263247863248,0.200854700855,0.140170940171,0.581196581197,0.735042735043
Deep patch regressor (5K iter) (top-1),0.162393162393,0.116809116809,0.0837606837607,0.0615384615385,0.042735042735,0.239316239316,0.350427350427
Deep patch regressor ((5k iter) top-20),0.188034188034,0.139601139601,0.124786324786,0.110256410256,0.0858974358974,0.34188034188,0.547008547009
Deep patch regressor (5K iter) (top-50),0.230769230769,0.156695156695,0.153846153846,0.135042735043,0.101282051282,0.384615384615,0.589743589744
Full Img (LSH #bits=20. ~brute force),0.384615384615,0.273504273504,0.208547008547,0.149572649573,0.103418803419,0.547008547009,0.735042735043
Random-1 patch,0.102564102564,0.0569800569801,0.0512820512821,0.0316239316239,0.0252136752137,0.153846153846,0.25641025641
Random-30 patch,0.205128205128,0.145299145299,0.121367521368,0.104273504274,0.0679487179487,0.34188034188,0.598290598291
Random-50 patch,0.230769230769,0.150997150997,0.121367521368,0.0905982905983,0.0696581196581,0.34188034188,0.521367521368
